"color","hex","name","rgb"
"grey59","#969696","grey59","rgb(150, 150, 150)"
"grey6","#0F0F0F","grey6","rgb(15, 15, 15)"
"grey60","#999999","grey60","rgb(153, 153, 153)"
"grey61","#9C9C9C","grey61","rgb(156, 156, 156)"
"grey62","#9E9E9E","grey62","rgb(158, 158, 158)"
"grey63","#A1A1A1","grey63","rgb(161, 161, 161)"
"grey64","#A3A3A3","grey64","rgb(163, 163, 163)"
"grey65","#A6A6A6","grey65","rgb(166, 166, 166)"
"grey66","#A8A8A8","grey66","rgb(168, 168, 168)"
"grey67","#ABABAB","grey67","rgb(171, 171, 171)"
"grey68","#ADADAD","grey68","rgb(173, 173, 173)"
"grey69","#B0B0B0","grey69","rgb(176, 176, 176)"
"grey7","#121212","grey7","rgb(18, 18, 18)"
"grey70","#B3B3B3","grey70","rgb(179, 179, 179)"
"grey71","#B5B5B5","grey71","rgb(181, 181, 181)"
"grey72","#B8B8B8","grey72","rgb(184, 184, 184)"
"grey73","#BABABA","grey73","rgb(186, 186, 186)"
"grey74","#BDBDBD","grey74","rgb(189, 189, 189)"
"grey75","#BFBFBF","grey75","rgb(191, 191, 191)"
"grey76","#C2C2C2","grey76","rgb(194, 194, 194)"
"grey77","#C4C4C4","grey77","rgb(196, 196, 196)"
"grey78","#C7C7C7","grey78","rgb(199, 199, 199)"
"grey79","#C9C9C9","grey79","rgb(201, 201, 201)"
"grey8","#141414","grey8","rgb(20, 20, 20)"
"grey80","#CCCCCC","grey80","rgb(204, 204, 204)"
"grey81","#CFCFCF","grey81","rgb(207, 207, 207)"
"grey82","#D1D1D1","grey82","rgb(209, 209, 209)"
"grey83","#D4D4D4","grey83","rgb(212, 212, 212)"
"grey84","#D6D6D6","grey84","rgb(214, 214, 214)"
"grey85","#D9D9D9","grey85","rgb(217, 217, 217)"
"grey86","#DBDBDB","grey86","rgb(219, 219, 219)"
"grey87","#DEDEDE","grey87","rgb(222, 222, 222)"
"grey88","#E0E0E0","grey88","rgb(224, 224, 224)"
"grey89","#E3E3E3","grey89","rgb(227, 227, 227)"
"grey9","#171717","grey9","rgb(23, 23, 23)"
"grey90","#E5E5E5","grey90","rgb(229, 229, 229)"
"grey91","#E8E8E8","grey91","rgb(232, 232, 232)"
"grey92","#EBEBEB","grey92","rgb(235, 235, 235)"
"grey93","#EDEDED","grey93","rgb(237, 237, 237)"
"grey94","#F0F0F0","grey94","rgb(240, 240, 240)"
"grey95","#F2F2F2","grey95","rgb(242, 242, 242)"
"grey96","#F5F5F5","grey96","rgb(245, 245, 245)"
"grey97","#F7F7F7","grey97","rgb(247, 247, 247)"
"grey98","#FAFAFA","grey98","rgb(250, 250, 250)"
"grey99","#FCFCFC","grey99","rgb(252, 252, 252)"
"honeydew","#F0FFF0","honeydew","rgb(240, 255, 240)"
"honeydew1","#F0FFF0","honeydew1","rgb(240, 255, 240)"
"honeydew2","#E0EEE0","honeydew2","rgb(224, 238, 224)"
"honeydew3","#C1CDC1","honeydew3","rgb(193, 205, 193)"
"honeydew4","#838B83","honeydew4","rgb(131, 139, 131)"
"HotPink","#FF69B4","HotPink","rgb(255, 105, 180)"
"HotPink1","#FF6EB4","HotPink1","rgb(255, 110, 180)"
"HotPink2","#EE6AA7","HotPink2","rgb(238, 106, 167)"
"HotPink3","#CD6090","HotPink3","rgb(205, 96, 144)"
"HotPink4","#8B3A62","HotPink4","rgb(139, 58, 98)"
"IndianRed","#CD5C5C","IndianRed","rgb(205, 92, 92)"
"IndianRed1","#FF6A6A","IndianRed1","rgb(255, 106, 106)"
"IndianRed2","#EE6363","IndianRed2","rgb(238, 99, 99)"
"IndianRed3","#CD5555","IndianRed3","rgb(205, 85, 85)"
"IndianRed4","#8B3A3A","IndianRed4","rgb(139, 58, 58)"
"indigo","#4B0082","indigo","rgb(75, 0, 130)"
"ivory","#FFFFF0","ivory","rgb(255, 255, 240)"
"ivory1","#FFFFF0","ivory1","rgb(255, 255, 240)"
"ivory2","#EEEEE0","ivory2","rgb(238, 238, 224)"
"ivory3","#CDCDC1","ivory3","rgb(205, 205, 193)"
"ivory4","#8B8B83","ivory4","rgb(139, 139, 131)"
"khaki","#F0E68C","khaki","rgb(240, 230, 140)"
"khaki1","#FFF68F","khaki1","rgb(255, 246, 143)"
"khaki2","#EEE685","khaki2","rgb(238, 230, 133)"
"khaki3","#CDC673","khaki3","rgb(205, 198, 115)"
"khaki4","#8B864E","khaki4","rgb(139, 134, 78)"
"lavender","#E6E6FA","lavender","rgb(230, 230, 250)"
"LavenderBlush","#FFF0F5","LavenderBlush","rgb(255, 240, 245)"
"LavenderBlush1","#FFF0F5","LavenderBlush1","rgb(255, 240, 245)"
"LavenderBlush2","#EEE0E5","LavenderBlush2","rgb(238, 224, 229)"
"LavenderBlush3","#CDC1C5","LavenderBlush3","rgb(205, 193, 197)"
"LavenderBlush4","#8B8386","LavenderBlush4","rgb(139, 131, 134)"
"LawnGreen","#7CFC00","LawnGreen","rgb(124, 252, 0)"
"LemonChiffon","#FFFACD","LemonChiffon","rgb(255, 250, 205)"
"LemonChiffon1","#FFFACD","LemonChiffon1","rgb(255, 250, 205)"
"LemonChiffon2","#EEE9BF","LemonChiffon2","rgb(238, 233, 191)"
"LemonChiffon3","#CDC9A5","LemonChiffon3","rgb(205, 201, 165)"
"LemonChiffon4","#8B8970","LemonChiffon4","rgb(139, 137, 112)"
"LightBlue","#ADD8E6","LightBlue","rgb(173, 216, 230)"
"LightBlue1","#BFEFFF","LightBlue1","rgb(191, 239, 255)"
"LightBlue2","#B2DFEE","LightBlue2","rgb(178, 223, 238)"
