"scientific_name","attribute_name","range"
"Leptospermum obovatum anisophyllea","Habit","Unknown"
"Leptospermum obovatum anisophyllea","Kind","Generic"
"Leptospermum obovatum anisophyllea","Native","Yes"
"Leptospermum obovatum anisophyllea","Sun tolerance","Unknown"
"Leucojum vernum","Edible","No"
"Leucojum vernum","Habit","Unknown"
"Leucojum vernum","Kind","Generic"
"Leucojum vernum","Native","No"
"Leucojum vernum","Sun tolerance","Unknown"
"Lilium","Edible","No"
"Lilium","Habit","Unknown"
"Lilium","Kind","Generic"
"Lilium","Native","No"
"Lilium","Sun tolerance","Unknown"
"Limonium perezii","Edible","No"
"Limonium perezii","Habit","Unknown"
"Limonium perezii","Kind","Generic"
"Limonium perezii","Native","No"
"Limonium perezii","Sun tolerance","Unknown"
"Liriope muscari","Edible","No"
"Liriope muscari","Habit","Unknown"
"Liriope muscari","Kind","Generic"
"Liriope muscari","Native","No"
"Liriope muscari","Sun tolerance","Unknown"
"Lomandra longifolia x confertifolia ssp. pallida","Edible","No"
"Lomandra longifolia x confertifolia ssp. pallida","Habit","Shrub"
"Lomandra longifolia x confertifolia ssp. pallida","Kind","Generic"
"Lomandra longifolia x confertifolia ssp. pallida","Native","Yes"
"Lomandra longifolia x confertifolia ssp. pallida","Sun tolerance","Full sun, Part shade"
"Lonicera periclymenum","Edible","No"
"Lonicera periclymenum","Habit","Unknown"
"Lonicera periclymenum","Kind","Generic"
"Lonicera periclymenum","Native","No"
"Lonicera periclymenum","Sun tolerance","Unknown"
"Loropetalum chinense","Edible","No"
"Loropetalum chinense","Habit","Unknown"
"Loropetalum chinense","Kind","Generic"
"Loropetalum chinense","Native","No"
"Loropetalum chinense","Sun tolerance","Unknown"
"Loropetalum chinense var. rubrum","Edible","No"
"Loropetalum chinense var. rubrum","Habit","Unknown"
"Loropetalum chinense var. rubrum","Kind","Generic"
"Loropetalum chinense var. rubrum","Native","No"
"Loropetalum chinense var. rubrum","Sun tolerance","Unknown"
